,Date,Title,Author,Ranking,Year,Month,List
84,2019-06-01,The Never Game,Jeffery Deaver,10,2019,6,combined-print-and-e-book-fiction
85,2019-06-01,Sunset Beach,Mary Kay Andrews,11,2019,6,combined-print-and-e-book-fiction
86,2019-06-01,The Tattooist Of Auschwitz,Heather Morris,12,2019,6,combined-print-and-e-book-fiction
87,2019-06-01,Little Fires Everywhere,Celeste Ng,13,2019,6,combined-print-and-e-book-fiction
88,2019-06-01,The Guest Book,Sarah Blake,14,2019,6,combined-print-and-e-book-fiction
89,2019-06-01,The Unhoneymooners,Christina Lauren,15,2019,6,combined-print-and-e-book-fiction
90,2019-07-01,Summer Of '69,Elin Hilderbrand,1,2019,7,combined-print-and-e-book-fiction
91,2019-07-01,Where The Crawdads Sing,Delia Owens,2,2019,7,combined-print-and-e-book-fiction
92,2019-07-01,The Reckoning,John Grisham,3,2019,7,combined-print-and-e-book-fiction
93,2019-07-01,City Of Girls,Elizabeth Gilbert,4,2019,7,combined-print-and-e-book-fiction
94,2019-07-01,Mrs. Everything,Jennifer Weiner,5,2019,7,combined-print-and-e-book-fiction
95,2019-07-01,Before We Were Yours,Lisa Wingate,6,2019,7,combined-print-and-e-book-fiction
96,2019-07-01,Unsolved,James Patterson and David Ellis,7,2019,7,combined-print-and-e-book-fiction
97,2019-07-01,Little Fires Everywhere,Celeste Ng,8,2019,7,combined-print-and-e-book-fiction
98,2019-07-01,The Tattooist Of Auschwitz,Heather Morris,9,2019,7,combined-print-and-e-book-fiction
99,2019-07-01,Good Omens,Neil Gaiman and Terry Pratchett,10,2019,7,combined-print-and-e-book-fiction
100,2019-07-01,Tom Clancy: Enemy Contact,Mike Maden,11,2019,7,combined-print-and-e-book-fiction
101,2019-07-01,The Oracle,Clive Cussler and Robin Burcell,12,2019,7,combined-print-and-e-book-fiction
102,2019-07-01,Cottage By The Sea,Debbie Macomber,13,2019,7,combined-print-and-e-book-fiction
103,2019-07-01,There Goes My Heart,Bella Andre,14,2019,7,combined-print-and-e-book-fiction
104,2019-07-01,Past Tense,Lee Child,15,2019,7,combined-print-and-e-book-fiction
105,2019-08-01,The New Girl,Daniel Silva,1,2019,8,combined-print-and-e-book-fiction
106,2019-08-01,Where The Crawdads Sing,Delia Owens,2,2019,8,combined-print-and-e-book-fiction
107,2019-08-01,The Nickel Boys,Colson Whitehead,3,2019,8,combined-print-and-e-book-fiction
108,2019-08-01,The Adventure Zone: Murder On The Rockport Limited!,Clint McElroy et al. Illustrated by Carey Pietsch,4,2019,8,combined-print-and-e-book-fiction
109,2019-08-01,Under Currents,Nora Roberts,5,2019,8,combined-print-and-e-book-fiction
110,2019-08-01,Window On The Bay,Debbie Macomber,6,2019,8,combined-print-and-e-book-fiction
111,2019-08-01,Summer Of '69,Elin Hilderbrand,7,2019,8,combined-print-and-e-book-fiction
112,2019-08-01,The Reckoning,John Grisham,8,2019,8,combined-print-and-e-book-fiction
113,2019-08-01,Evvie Drake Starts Over,Linda Holmes,9,2019,8,combined-print-and-e-book-fiction
114,2019-08-01,Before We Were Yours,Lisa Wingate,10,2019,8,combined-print-and-e-book-fiction
115,2019-08-01,The Tattooist Of Auschwitz,Heather Morris,11,2019,8,combined-print-and-e-book-fiction
116,2019-08-01,Shamed,Linda Castillo,12,2019,8,combined-print-and-e-book-fiction
117,2019-08-01,Sold On A Monday,Kristina McMorris,13,2019,8,combined-print-and-e-book-fiction
118,2019-08-01,City Of Girls,Elizabeth Gilbert,14,2019,8,combined-print-and-e-book-fiction
119,2019-08-01,Little Fires Everywhere,Celeste Ng,15,2019,8,combined-print-and-e-book-fiction
120,2019-09-01,Where The Crawdads Sing,Delia Owens,1,2019,9,combined-print-and-e-book-fiction
121,2019-09-01,The Bitterroots,C.J. Box,2,2019,9,combined-print-and-e-book-fiction
122,2019-09-01,Contraband,Stuart Woods,3,2019,9,combined-print-and-e-book-fiction
123,2019-09-01,The Inn,James Patterson with Candice Fox,4,2019,9,combined-print-and-e-book-fiction
124,2019-09-01,The Art Of Racing In The Rain,Garth Stein,5,2019,9,combined-print-and-e-book-fiction
125,2019-09-01,Blood Truth,J.R. Ward,6,2019,9,combined-print-and-e-book-fiction
126,2019-09-01,One Good Deed,David Baldacci,7,2019,9,combined-print-and-e-book-fiction
127,2019-09-01,The Nickel Boys,Colson Whitehead,8,2019,9,combined-print-and-e-book-fiction
128,2019-09-01,The Turn Of The Key,Ruth Ware,9,2019,9,combined-print-and-e-book-fiction
129,2019-09-01,The New Girl,Daniel Silva,10,2019,9,combined-print-and-e-book-fiction
130,2019-09-01,Outfox,Sandra Brown,11,2019,9,combined-print-and-e-book-fiction
131,2019-09-01,The Wallflower Wager,Tessa Dare,12,2019,9,combined-print-and-e-book-fiction
132,2019-09-01,The Warning,James Patterson and Robison Wells,13,2019,9,combined-print-and-e-book-fiction
133,2019-09-01,The Tattooist Of Auschwitz,Heather Morris,14,2019,9,combined-print-and-e-book-fiction
134,2019-09-01,Little Fires Everywhere,Celeste Ng,15,2019,9,combined-print-and-e-book-fiction
135,2019-10-01,The Institute,Stephen King,1,2019,10,combined-print-and-e-book-fiction
136,2019-10-01,The Testaments,Margaret Atwood,2,2019,10,combined-print-and-e-book-fiction
137,2019-10-01,Where The Crawdads Sing,Delia Owens,3,2019,10,combined-print-and-e-book-fiction
138,2019-10-01,Land Of Wolves,Craig Johnson,4,2019,10,combined-print-and-e-book-fiction
139,2019-10-01,The Goldfinch,Donna Tartt,5,2019,10,combined-print-and-e-book-fiction
140,2019-10-01,The Handmaid'S Tale,Margaret Atwood,6,2019,10,combined-print-and-e-book-fiction
141,2019-10-01,It,Stephen King,7,2019,10,combined-print-and-e-book-fiction
